"concept","wkp","wikipedia"
"spendengefäß",,
"akt",,
"mitte",,
"eros","https://www.wikidata.org/wiki/Q121973","https://de.wikipedia.org/wiki/Eros_(Mythologie)"
"kranz","https://www.wikidata.org/wiki/Q734844","https://de.wikipedia.org/wiki/Lorbeerkranz"
"ehefrau",,
"weintraube",,
"hippos",,
"eulen",,
"kitharode","https://www.wikidata.org/wiki/Q181922","https://de.wikipedia.org/wiki/Kithar%C3%B6de"
"säule",,
"kannen",,
"menelaos","https://www.wikidata.org/wiki/Q171839","https://de.wikipedia.org/wiki/Menelaos"
"schlacht",,
"fahrzeuge",,
"musizieren",,
"geschichte",,
"hähne",,
"olymp","https://www.wikidata.org/wiki/Q80344","https://de.wikipedia.org/wiki/Olymp"
"kaufmann",,
"weinrebe",,
"kutsche",,
"junge",,
"reinigung",,
"dinoi",,
"faustkämpern","https://www.wikidata.org/wiki/Q756884","https://de.wikipedia.org/wiki/Antiker_Faustkampf"
"waffen",,
"vorratsbehälter",,
"export",,
"topf",,
"götter",,
"beutel",,
"stengel",,
"poseidon","https://www.wikidata.org/wiki/Q41127","https://de.wikipedia.org/wiki/Poseidon"
"vase",,
"kampfplatz",,
"figurenfries",,
"musik",,
"hebe",,
"stab",,
"schalen",,
"seiten",,
"palmetten","https://www.wikidata.org/wiki/Q677655","https://de.wikipedia.org/wiki/Palmette"
"umherziehen",,
"lotusbblüten","https://www.wikidata.org/wiki/Q207427","https://de.wikipedia.org/wiki/Lotosblumen"
"pinienzapfen",,
"kentauren","https://www.wikidata.org/wiki/Q83203","https://de.wikipedia.org/wiki/Kentaur"
"spiegel",,
"mäander","https://www.wikidata.org/wiki/Q898879","https://de.wikipedia.org/wiki/M%C3%A4ander_(Ornamentik)"
"tochter",,
"dionysos","https://www.wikidata.org/wiki/Q41680","https://en.wikipedia.org/wiki/Dionysus"
"symposion","https://www.wikidata.org/wiki/Q206883","https://de.wikipedia.org/wiki/Symposion"
"gewand",,
"zecher",,
"tanzen",,
"kämpfe",,
"palästra","https://www.wikidata.org/wiki/Q647160","https://de.wikipedia.org/wiki/Pal%C3%A4stra"
"körper/figur/akt",,
"pferd",,
"efeu",,
"gott",,
"götterversammlung",,
"besucher",,
"ziegenfell",,
"ballspiel",,
"dolden","https://www.wikidata.org/wiki/Q577430","https://de.wikipedia.org/wiki/Dolde"
"polydeukes","https://www.wikidata.org/wiki/Q190103","https://de.wikipedia.org/wiki/Dioskuren"
"sieten",,
"sichel-ornament",,
"mantel",,
"hippalektrion","https://www.wikidata.org/wiki/Q580733","https://de.wikipedia.org/wiki/Hippalektryon"
"bart",,
"apollon","https://www.wikidata.org/wiki/Q37340","https://de.wikipedia.org/wiki/Apollon"
"mann",,
"artemis","https://www.wikidata.org/wiki/Q39503","https://de.wikipedia.org/wiki/Artemis"
"-tänzer",,
"wendesäule",,
"totenkult","https://www.wikidata.org/wiki/Q1631102","https://de.wikipedia.org/wiki/Tod_und_Totenkult_im_antiken_Griechenland"
"wein",,
"wagenlenker",,
"zweige",,
"kantharos",,
"stabornament",,
"akzentuierung",,
"sport",,
"klappern",,
"grabbeigaben",,
"schild",,
"verkaufen",,
"etrusker",,
"altar",,
"pfeiler",,
"rind",,
"lotusblüten",,
"leben",,
"blumen",,
"zither",,
"tasche",,
"szene",,
"abschied",,
"tiere",,
"athena",,
"knabe",,
"tierfrise",,
"weinlaub",,
"musikinstrument",,
"griefen",,
"bild",,
"rüstung",,
"kastagnetten",,
"architektur",,
"frauen",,
"schabeisen",,
"panther",,
"rückseite",,
"axt",,
"gefährten",,
"pfeil",,
"grabbeigabe",,
"fackeln",,
"eingreifen",,
"kline",,
"achills",,
"krieger",,
"dekor",,
"fabeltiere",,
"frau",,
"sack",,
"musiker",,
"waffenläufer",,
"opferbrot",,
"hochzeitsritus",,
"panzer",,
"lehrer",,
"behälter",,
"punktrosetten",,
"hektor",,
"viergespann",,
"kaufgespräch",,
"totentanz",,
"olivenzweig",,
"aphrodite",,
"tänzer",,
"pflanzen",,
"ägis",,
"silene",,
"psalterium",,
"haube",,
"training",,
"binden",,
"gesicht",,
"helden",,
"jugend",,
"fels",,
"opfergaben",,
"hermes",,
"ornament",,
"tieren",,
"einzug",,
"männer",,
"begleiter",,
"keramik",,
"kriger",,
"efeuranken",,
"hund",,
"musikinstrumente",,
"göttin",,
"aulosspieler",,
"rundschild",,
"trommel",,
"waffenlauf",,
"mutter",,
"gefäße",,
"lanze",,
"trankspende",,
"kastor",,
"siegeskranz",,
"festlichkeiten",,
"boden",,
"kriegern",,
"kränze",,
"flechtbänder",,
"mythologie",,
"katze",,
"klassische",,
"prinz",,
"kanne",,
"wasser",,
"kaufen",,
"sirene",,
"krieg",,
"empfang",,
"mädchen",,
"vorbereitungen",,
"prostitution",,
"held",,
"wagen",,
"tod",,
"olympia",,
"vorderseite",,
"fächer",,
"palmette",,
"ehren",,
"frauenköpfe",,
"löwenfüßen",,
"fußsoldat",,
"siegesgöttin",,
"sphinx",,
"ringern",,
"kampfrichter",,
"grabbau",,
"helm",,
